Payload_Avionics
ax,ay,az,gx,gy,gz,mpu_temp,bmp_temp,bmp_pres, bmp_alt
0.335,-0.024,11.147,-0.061,0.305,-0.091,24.671,22.600,100966.000,30.182
0.316,-0.057,11.143,-0.213,0.366,-0.152,24.671,22.600,100956.000,30.766
0.388,-0.067,11.056,-0.152,0.366,-0.244,24.671,22.600,100960.000,30.265
0.378,-0.105,11.119,-0.122,0.427,-0.122,24.624,22.600,100953.000,30.933
0.335,-0.091,11.243,-0.061,0.396,-0.305,24.671,22.500,100959.000,30.182
0.402,-0.057,11.143,-0.061,0.366,-0.152,24.624,22.600,100959.000,29.931
0.364,-0.086,11.181,-0.183,0.427,-0.030,24.671,22.600,100966.000,31.184
0.364,-0.096,11.104,-0.152,0.366,-0.213,24.577,22.600,100962.000,29.681
0.330,-0.158,11.167,-0.213,0.610,-0.122,24.577,22.600,100957.000,29.514
0.350,-0.081,11.104,-0.122,0.518,-0.061,24.577,22.600,100956.000,30.683
0.345,-0.120,11.095,-0.152,0.396,0.061,24.624,22.600,100950.000,30.683
0.278,-0.101,11.171,-0.183,0.305,-7.774,24.530,22.600,100959.000,30.516
0.354,-0.101,11.205,0.000,0.518,-0.244,24.577,22.600,100953.000,30.516
0.397,-0.148,11.138,-0.091,0.457,-0.091,24.624,22.600,100965.000,30.683
0.311,-0.086,11.095,-0.122,0.427,-0.183,24.530,22.600,100960.000,30.933
0.345,-0.129,11.133,-0.091,0.549,-7.774,24.624,22.600,100956.000,30.766
0.287,-0.086,11.128,7.774,0.488,-0.213,24.718,22.600,100957.000,30.265
0.364,-0.081,11.090,7.713,0.579,-0.122,24.577,22.600,100951.000,30.933
0.359,-0.115,11.138,-0.061,0.457,0.091,24.671,22.600,100951.000,30.432
0.306,-0.129,11.128,-0.122,0.396,-0.152,24.671,22.600,100960.000,30.265
0.421,-0.129,11.109,-0.152,0.488,-0.091,24.671,22.600,100966.000,30.265
0.397,-0.048,11.171,-0.122,0.549,-0.305,24.671,22.600,100953.000,30.265
0.393,-0.153,11.138,-0.152,0.427,-0.274,24.624,22.600,100960.000,29.931
0.330,-0.101,11.109,-0.274,0.335,-7.805,24.624,22.600,100953.000,30.015
0.297,-0.101,11.157,-0.122,0.549,-0.091,24.671,22.600,100962.000,30.516
0.373,-0.192,11.052,-0.183,0.274,-0.091,24.671,22.600,100965.000,30.182
